pmid,n_sentences,ner,warning,syntactic,numerical,umls,n_detectors_firing
1000139,7,True,False,True,False,True,3
10219274,12,True,False,True,True,True,4
10521751,13,True,False,True,True,True,4
10530060,12,True,True,False,True,True,4
10535452,10,True,False,True,True,True,4
10901839,11,True,False,True,True,False,3
10909610,7,True,False,True,True,True,4
10917403,10,True,False,True,True,True,4
11097963,10,True,False,True,True,True,4
11707664,10,True,False,True,False,True,3
11813080,13,True,False,True,False,True,3
12097783,17,True,True,True,True,True,5
12352270,8,True,False,True,True,True,4
12713453,8,True,False,True,False,True,3
12816345,13,True,False,True,True,True,4
13667001,2,True,False,True,False,True,3
1378369,14,True,True,True,True,True,5
14598876,5,True,True,True,True,True,5
14703441,9,True,False,True,True,True,4
15226090,14,True,False,True,True,True,4
15228825,14,True,True,True,True,True,5
15337754,6,True,True,True,False,True,4
1541379,7,True,False,True,True,True,4
15469601,11,True,False,True,True,True,4
15507061,11,True,False,True,True,True,4
15549501,14,True,True,True,True,True,5
15584938,11,True,False,False,True,True,3
15617553,9,True,False,True,True,True,4
15895778,9,True,False,True,True,True,4
15902691,7,True,False,False,False,True,2
16034865,9,True,False,True,False,True,3
16127951,11,True,True,True,False,True,4
16445274,8,True,True,True,False,True,4
16677450,10,True,False,True,True,True,4
16733942,8,True,True,True,False,True,4
1683192,9,True,False,True,True,True,4
16935966,7,True,True,True,False,True,4
16995969,8,True,False,True,False,False,2
17183568,9,True,False,True,False,True,3
17224659,11,True,False,True,False,True,3
17260529,12,True,True,True,False,True,4
17296512,14,True,False,True,True,True,4
17410826,3,True,False,True,False,False,2
17443661,10,True,False,True,True,True,4
17561467,17,True,False,True,False,True,3
17596470,8,True,True,True,False,True,4
17679728,10,True,True,False,True,True,4
1770194,14,True,False,True,True,True,4
17950653,8,True,True,True,False,True,4
17965720,8,True,False,True,True,False,3
17990843,11,True,True,True,False,True,4
18058723,15,True,False,True,True,True,4
18200034,10,True,False,False,True,True,3
18203033,21,True,False,True,True,True,4
18206410,8,True,False,True,True,True,4
1826249,8,True,False,True,True,True,4
18328977,7,True,True,True,True,True,5
18496408,14,True,False,True,True,True,4
18497742,6,True,False,True,False,True,3
18656819,5,True,False,True,False,True,3
18667698,11,True,False,True,True,True,4
18668342,4,True,False,True,False,True,3
18695233,9,True,True,True,False,True,4
1887812,11,True,False,True,True,True,4
19035067,12,True,False,True,True,True,4
1917173,12,True,True,False,True,True,4
19329391,11,True,False,True,True,True,4
1933737,12,True,True,True,False,True,4
19445546,17,True,True,True,True,True,5
19635161,10,True,False,True,True,True,4
